Id,MSSubClass,LotShape,LandContour,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,LotFrontage,LotArea,GarageArea,GrLivArea,TotalBsmtSF,SalePrice
25,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Very Good,NA,8246,270,1060,1060,154000
26,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,110,14230,890,1600,1566,256300
27,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,60,7200,576,900,900,134800
28,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,98,11478,772,1704,1704,306000
29,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,47,16321,319,1600,1484,207500
30,1-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Above Average,60,6324,240,520,520,68500
31,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Below Average,Below Average,50,8500,250,1317,649,40000
32,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,NA,8544,271,1228,1228,149350
33,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,85,11049,484,1234,1234,179900
34,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,70,10552,447,1700,1398,165500
35,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Excellent,Average,60,7313,556,1561,1561,277500
36,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,108,13418,691,2452,1117,309000
37,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,112,10859,672,1097,1097,145000
38,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,74,8532,498,1297,1297,153000
39,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,68,7922,246,1057,1057,109000
40,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Below Average,Average,65,6040,0,1152,0,82000
41,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,84,8658,440,1324,1088,160000
42,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,115,16905,308,1328,1350,170000
43,SPLIT FOYER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,Average,Good,NA,9180,504,884,840,144000
44,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,NA,9200,308,938,938,130250
45,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,70,7945,300,1150,1150,141000
46,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Excellent,Average,61,7658,576,1752,1752,319900
47,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Average,48,12822,670,2149,1434,239686
48,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,84,11096,826,1656,1656,249700
49,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,Two story,Below Average,Average,33,4456,0,1452,736,113000
50,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,66,7742,386,955,955,127000
51,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Above Average,NA,13869,388,1470,794,177000
52,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,52,6240,528,1176,816,114500
53,DUPLEX - ALL STYLES AND AGES,Moderately Irregular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Duplex,One story,Average,Average,110,8472,516,816,816,110000
54,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Depression,Gentle slope,Single-family Detached,One story,Excellent,Average,68,50271,894,1842,1842,385000
55,SPLIT OR MULTI-LEVEL,Regular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Single-family Detached,Split Level,Average,Average,60,7134,572,1360,384,130000
56,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,100,10175,576,1425,1425,180500
57,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Very Good,Average,24,2645,480,1739,970,172500
58,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,89,11645,565,1720,860,196500
59,2-STORY 1946 & NEWER,Moderately Irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,Very Excellent,Average,66,13682,641,2945,1410,438780
60,1-STORY 1946 & NEWER ALL STYLES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,Average,Good,60,7200,352,780,780,124900
61,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,63,13072,576,1158,1158,158000
62,2-1/2 STORY ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two and one-half story: 2nd level unfinished,Average,Good,60,7200,288,1111,530,101000
63,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,44,6442,484,1370,1370,202500
64,2-STORY 1945 & OLDER,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,Two story,Good,Above Average,50,10300,480,1710,576,140000
65,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,NA,9375,645,2034,1057,219500
66,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,76,9591,852,2473,1143,317000
67,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,NA,19900,576,2207,1947,180000
68,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,72,10665,558,1479,1453,226000
69,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Above Average,47,4608,220,747,747,80000
70,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Below Average,81,15593,667,2287,1304,225000
71,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Above Average,95,13651,516,2223,2223,244000
72,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Above Average,69,7599,360,845,845,129500
73,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,74,10141,427,1718,832,185000
74,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,85,10200,490,1086,1086,144900
75,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Fair,Above Average,60,5790,379,1605,840,107400
76,PUD - MULTILEVEL - INCL SPLIT LEV/FOYER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Split Level,Below Average,Average,21,1596,297,988,462,91000
77,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Good,NA,8475,283,952,952,135750
78,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Average,50,8635,240,1285,672,127000
79,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Below Average,Average,72,10778,0,1768,1768,136500
80,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Average,Above Average,60,10440,440,1230,440,110000
81,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Above Average,100,13000,509,2142,896,193500
82,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Above Average,Average,32,4500,405,1337,1237,153500
83,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,78,10206,758,1563,1563,245000
84,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,80,8892,461,1065,1065,126500
85,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Good,Average,NA,8530,400,1474,384,168500
86,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,121,16059,462,2417,1288,260000
87,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,122,11911,400,1560,684,174000
88,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Above Average,Average,40,3951,528,1224,612,164500
89,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Fair,Poor,105,8470,0,1526,1013,85000
90,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,60,8070,0,990,990,123600
91,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,60,7200,420,1040,0,109900
92,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Fair,85,8500,480,1235,1235,98600
93,1-STORY 1945 & OLDER,Slightly irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,One story,Average,Good,80,13360,432,964,876,163500
94,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,Two and one-half story: 2nd level unfinished,Above Average,Above Average,60,7200,506,2291,1214,133900
95,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,69,9337,684,1786,824,204750
96,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Very Good,NA,9765,420,1470,680,185000
97,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,78,10264,472,1588,1588,214000
98,1-STORY 1946 & NEWER ALL STYLES,Regular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,One story,Below Average,Average,73,10921,432,960,960,94750
99,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,85,10625,366,835,458,83000
100,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,77,9320,0,1225,950,128950
101,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,NA,10603,480,1610,1610,205000
102,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,77,9206,476,1732,741,178000
103,DUPLEX - ALL STYLES AND AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Duplex,One story,Average,Average,64,7018,410,1535,0,118964
104,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,94,10402,740,1226,1226,198900
105,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Below Average,NA,7758,240,1818,1040,169500
106,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,75,9375,648,1992,1053,250000
107,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Good,60,10800,273,1047,641,100000
108,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,50,6000,250,789,789,115000
109,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,85,8500,0,1517,793,115000
110,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,105,11751,546,1844,1844,190000
111,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Below Average,75,9525,325,1855,994,136900
112,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Good,Average,NA,7750,400,1430,384,180000
113,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,77,9965,792,2696,1264,383970
114,1-STORY 1946 & NEWER ALL STYLES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,Above Average,Average,NA,21000,450,2259,1809,217000
115,2-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Moderate Slope,Single-family Detached,Two story,Above Average,Very Good,61,7259,180,2320,1028,259500
116,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Above Average,Average,34,3230,440,1458,729,176000
117,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,NA,11616,288,1092,1092,139000
118,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,74,8536,430,1125,1125,155000
119,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,90,12376,594,3222,1673,320000
120,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,65,8461,390,1456,728,163990
121,SPLIT OR MULTI-LEVEL,Slightly irregular,Depression,Severe Slope,Single-family Detached,Split Level,Above Average,Average,NA,21453,540,988,938,180000
122,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Below Average,Average,50,6060,264,1123,732,100000
123,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,75,9464,288,1080,1080,136000
124,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Above Average,Average,55,7892,530,1199,1199,153900
125,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,48,17043,435,1586,1362,181000
126,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,One and one-half story: 2nd level finished,Above Average,Very Good,60,6780,0,754,520,84500
127,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Above Average,Average,NA,4928,440,958,1078,128000
128,1-1/2 STORY - UNFINISHED ALL AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,Average,Good,55,4388,0,840,672,87000
129,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,69,7590,453,1348,660,155000
130,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,69,8973,750,1053,1008,150000
131,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Above Average,88,14200,487,2157,924,226000
132,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,12224,390,2054,992,244000
133,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,75,7388,624,1327,1063,150750
134,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,NA,6853,471,1296,1267,220000
135,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,78,10335,440,1721,1461,180000
136,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Above Average,80,10400,530,1682,1304,174000
137,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,NA,10355,318,1214,1214,143000
138,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Good,Average,82,11070,766,1959,1907,171000
139,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,73,9066,660,1852,1004,230000
140,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,65,15426,470,1764,928,231500
141,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,70,10500,0,864,864,115000
142,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,78,11645,660,1734,1734,260000
143,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Below Average,71,8520,720,1385,910,166000
144,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,78,10335,577,1501,1490,204000
145,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Average,Average,70,9100,504,1728,1728,125000
146,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,24,2522,380,1709,970,130000
147,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,51,6120,180,875,715,105000
148,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,NA,9505,434,2035,884,222500
149,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,63,7500,0,1080,1080,141000
150,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Below Average,NA,6240,240,1344,896,115000
151,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,120,10356,440,969,969,122000
152,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,107,13891,866,1710,1710,372402
153,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,14803,495,1993,825,190000
154,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,NA,13500,564,1252,1602,235000
155,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,84,11340,312,1200,1200,125000
156,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Average,60,9600,0,1096,572,79000
157,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,60,7200,625,1040,0,109500
158,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,92,12003,680,1968,774,269500
159,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,100,12552,678,1947,991,254900
160,2-STORY 1946 & NEWER,Slightly irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,Good,Average,134,19378,576,2462,1392,320000
161,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,NA,11120,516,1232,1232,162500
162,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Excellent,Average,110,13688,726,2668,1572,412500
163,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,95,12182,532,1541,1541,220000
164,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,Below Average,Above Average,55,5500,0,882,882,103200
165,1-STORY W/FINISHED ATTIC ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,40,5400,216,1616,1149,152000
166,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,One and one-half story: 2nd level finished,Average,Good,62,10106,0,1355,644,127500
167,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,NA,10708,303,1867,1617,190000
168,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,86,10562,789,2161,1582,325624
169,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,62,8244,440,1720,840,183500
170,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Above Average,NA,16669,511,1707,1686,228000
